Mon Nov 26 10:55:06 2012
    3263 ms:	CClient::Main()...
    3268 ms:	ReadClientConfiguration() done.
    3320 ms:	new CGraphics...
    4851 ms:	new CResourceManager...
    4885 ms:	new CGui...
   10427 ms:	new CUnitEditor...
   10435 ms:	SetSubProgramParams(m_pUnitEditor)...
   10441 ms:	m_pUnitEditor->Init()...
   10634 ms:	new CMainMenu...
   10657 ms:	new CGameMain...
   10843 ms:	m_pMainMenu = 48847256
   10850 ms:	m_stackSubProgram.size() = 1
   10856 ms:	m_stackSubProgram.top() = 48847256
   10862 ms:	Initialization done.
