Mon Nov 26 10:55:06 2012
    3346 ms:	CGraphics initializing...
    3352 ms:	InitGLForWindows()...
    4771 ms:	InitGLForWindows() done.
    4779 ms:	OpenGL Version = 4.2.0
    4785 ms:	InitFullscreenQuadVBO()...
    4791 ms:	InitFullscreenQuadVBO() done.
    4797 ms:	InitScriptedEffectSystem()...
    4804 ms:	InitScriptedEffectSystem() done.
    4810 ms:	InitMatrixManagement()...
    4817 ms:	InitMatrixManagement() done.
    4824 ms:	InitLights()...
    4839 ms:	InitLights() done.
    4845 ms:	CGraphics initialized.
